dt,dt_iso,city_id,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
1451610000,2016-01-01 01:00:00 +0000 UTC,5368361,,,,288.14,281.15,292.15,1018,,,22,5,260,,,,,,,,,1,800,Clear,sky is clear,01n
1451617200,2016-01-01 03:00:00 +0000 UTC,5368361,,,,284.27,275.15,289.15,1018,,,21,1,310,,,,,,,,,1,800,Clear,sky is clear,01n
1451624400,2016-01-01 05:00:00 +0000 UTC,5368361,,,,283.38,274.15,287.15,1019,,,34,2,20,,,,,,,,,1,800,Clear,sky is clear,01n
1451628000,2016-01-01 06:00:00 +0000 UTC,5368361,,,,282,272.59,286.15,1019,,,32,1,16,,,,,,,,,1,800,Clear,sky is clear,01n
1451631600,2016-01-01 07:00:00 +0000 UTC,5368361,,,,280.74,270.93,285.15,1019,,,32,1,18,,,,,,,,,1,721,Haze,haze,50n
1451638800,2016-01-01 09:00:00 +0000 UTC,5368361,,,,280.23,270.15,285.15,1019,,,31,1,18,,,,,,,,,1,721,Haze,haze,50n
1451642400,2016-01-01 10:00:00 +0000 UTC,5368361,,,,278.97,269.82,285.15,1019,,,33,1,21,,,,,,,,,1,721,Haze,haze,50n
1451646000,2016-01-01 11:00:00 +0000 UTC,5368361,,,,278.83,269.15,285.15,1019,,,31,1,21,,,,,,,,,1,800,Clear,sky is clear,01n
1451653200,2016-01-01 13:00:00 +0000 UTC,5368361,,,,278.14,269.15,285.15,1018,,,31,1,21,,,,,,,,,1,721,Haze,haze,50n
1451653200,2016-01-01 13:00:00 +0000 UTC,5368361,,,,278.33,269.26,283.25,1019,,,33,1,17,,,,,,,,,1,800,Clear,sky is clear,01n
1451656800,2016-01-01 14:00:00 +0000 UTC,5368361,,,,278.08,268.15,283.71,1019,,,28,1,17,,,,,,,,,1,800,Clear,sky is clear,01n
1451660400,2016-01-01 15:00:00 +0000 UTC,5368361,,,,277.97,268.15,285.15,1020,,,30,2,30,,,,,,,,,1,800,Clear,sky is clear,01d
